Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ERR062334_1	43.2411841185608	49.0	101.0	20.0	35853815.0
ERR062334_2	43.94664228342337	49.0	101.0	20.0	35853815.0
ERR062335_1	37.37223514364514	48.0	90.56418404086013	9.090909090909092	39835806.0
ERR062335_2	40.20026440949762	48.0	93.48960044258511	18.181818181818183	39404850.0
ERR062336_1	40.010385448076725	46.0	91.07587765488192	9.090909090909092	46650427.0
ERR062336_2	42.6399437511248	46.0	93.58556591036741	18.181818181818183	45903082.0
ERR062337_1	43.238807775309006	47.0	90.63795554091088	9.090909090909092	42833941.0
ERR062337_2	46.24430824215542	47.0	93.23678889358632	18.181818181818183	42025303.0
ERR062338_1	38.83906960839853	47.0	90.99778099790836	9.090909090909092	41551110.0
ERR062338_2	41.41144641936921	47.0	93.52212959449429	18.181818181818183	40907957.0
ERR164473_1	38.74164118991268	47.0	94.7486977653901	9.090909090909092	20855497.0
ERR164473_2	34.8823823717084	47.0	88.18130834154559	18.181818181818183	20953443.0
ERR164474_1	43.57676423959275	48.0	94.9282779236711	9.090909090909092	38979393.0
ERR164474_2	37.38623841112868	47.0	87.67108864595636	18.181818181818183	38519704.0
ERR164475_1	41.956749810980156	48.0	94.69688595115655	9.090909090909092	33692503.0
ERR164475_2	35.98307923802756	47.0	87.55812741279297	18.181818181818183	33421589.0
ERR164476_1	39.8006401409226	48.0	94.68681487904246	9.090909090909092	29533836.0
ERR164476_2	35.69505318946679	48.0	88.18505248375685	18.181818181818183	29516275.0
ERR164477_1	50.59382938402975	50.0	94.42353186387244	18.181818181818183	33018413.0
ERR164477_2	44.670197790720046	49.0	87.22546256154976	18.181818181818183	32762721.0
ERR164478_1	47.65498963740226	48.0	94.66596531450453	9.090909090909092	39667186.0
ERR164478_2	40.613780541419096	48.0	87.4519340783956	18.181818181818183	39296313.0
ERR164479_1	37.37345508573855	47.0	95.00495766082292	9.090909090909092	26856214.0
ERR164479_2	33.44215856435085	46.0	88.48755111219289	18.181818181818183	26799623.0
ERR164480_1	40.75877049043834	48.0	95.57358569282306	9.090909090909092	27962861.0
ERR164480_2	36.71829613144112	48.0	88.25389129849044	18.181818181818183	27961746.0
ERR164481_1	43.12157050177178	48.0	95.46231821813726	9.090909090909092	25437425.0
ERR164481_2	39.34258702733757	48.0	88.18021851134205	18.181818181818183	25409665.0
ERR164482_1	42.69610100322423	48.0	95.59481158548483	9.090909090909092	31276067.0
ERR164482_2	39.18873035050342	48.0	88.55609532073096	18.181818181818183	31264007.0
ERR164483_1	42.52310272062124	48.0	95.49810513063123	9.090909090909092	28517797.0
ERR164483_2	31.57584052067463	48.0	86.60725332212182	18.181818181818183	27400410.0
ERR164484_1	40.35432449798635	47.0	95.75983251470694	9.090909090909092	31340304.0
ERR164484_2	37.669969665848754	47.0	89.04069331219749	18.181818181818183	31400688.0
ERR164485_1	48.410317980469706	48.0	95.45071492486082	9.090909090909092	33668783.0
ERR164485_2	44.85438537558617	48.0	88.3236018914995	18.181818181818183	33661336.0
ERR164486_1	43.04567272668442	48.0	95.57676682993653	9.090909090909092	35334343.0
ERR164486_2	39.40518568899646	47.0	88.27022059006171	18.181818181818183	35226383.0
ERR164487_1	43.784606518574954	48.0	95.03384594629665	9.090909090909092	32051667.0
ERR164487_2	37.5238367658708	48.0	88.72882793899251	18.181818181818183	31855236.0
ERR164488_1	40.45111046723808	47.0	94.96467477155358	9.090909090909092	35840023.0
ERR164488_2	34.78966796187723	47.0	88.64822457360525	18.181818181818183	35634820.0
ERR164489_1	54.62176777860869	49.0	94.87117831602473	18.181818181818183	27582507.0
ERR164489_2	46.685928988464966	48.0	88.20607166980207	18.181818181818183	27347864.0
ERR164490_1	36.30457511253887	47.0	95.31281296811093	9.090909090909092	28425420.0
ERR164490_2	31.163848750636717	47.0	89.15755408339238	18.181818181818183	28309060.0
ERR164491_1	43.82591301092865	48.0	94.91057520022171	9.090909090909092	36695570.0
ERR164491_2	37.58886469285512	48.0	88.4772003454178	18.181818181818183	36487987.0
ERR164492_1	51.67995227718139	48.0	95.29629676397767	18.181818181818183	28984596.0
ERR164492_2	45.15608979747531	47.0	89.14012593366768	18.181818181818183	28802941.0
ERR164493_1	42.80641328143508	48.0	95.19196343830437	9.090909090909092	28274181.0
ERR164493_2	34.75679497950959	48.0	87.69695830270429	18.181818181818183	27770482.0
ERR164494_1	43.799691225338165	48.0	95.07035106266393	9.090909090909092	30477180.0
ERR164494_2	36.3555520359793	47.0	88.22232621142959	18.181818181818183	30214674.0
ERR164495_1	41.14860347873746	47.0	95.16403536101099	9.090909090909092	27273089.0
ERR164495_2	33.69366236981118	47.0	87.93045090564567	18.181818181818183	26760521.0
ERR164496_1	41.86682862358462	48.0	94.97281766504985	9.090909090909092	25620941.0
ERR164496_2	35.56801876256503	48.0	88.47120670995055	18.181818181818183	25485851.0
