sample	condition	normalization_factor
ERR164479	normal	0.843128
ERR164480	normal	0.843799
ERR164484	normal	1.040376
ERR164473	normal	0.666962
ERR164487	normal	0.978504
ERR164489	normal	0.622903
ERR164491	normal	1.120728
ERR164492	normal	0.786110
ERR164493	normal	0.838529
ERR164495	normal	0.811296
ERR164496	normal	0.757725
ERR164497	normal	0.665071
ERR164498	normal	0.850393
ERR164499	normal	0.795658
ERR164475	normal	1.028477
ERR164477	normal	0.769165
ERR164509	normal	1.186477
ERR164510	normal	0.861005
ERR164511	normal	0.898540
ERR164513	normal	1.071010
ERR164514	normal	1.072299
ERR164516	normal	0.934727
ERR164500	normal	1.306690
ERR164518	normal	1.069777
ERR164519	normal	1.001150
ERR164520	normal	1.009199
ERR164522	normal	1.058543
ERR164525	normal	1.163622
ERR164526	normal	0.977817
ERR164528	normal	1.142064
ERR164530	normal	0.782011
ERR164534	normal	0.985966
ERR164535	normal	0.378340
ERR164536	normal	0.936393
ERR164537	normal	0.839174
ERR164539	normal	1.537817
ERR164541	normal	1.300000
ERR164544	normal	1.095586
ERR164546	normal	0.892907
ERR164547	normal	1.033945
ERR164504	normal	1.296376
ERR164505	normal	0.870210
ERR164506	normal	1.003568
ERR164507	normal	0.815409
ERR164481	normal	0.763866
ERR164482	normal	0.970086
ERR164483	normal	0.814877
ERR164485	normal	1.028290
ERR164486	normal	1.136426
ERR164474	normal	1.194257
ERR164488	normal	1.162658
ERR164490	normal	0.875008
ERR164494	normal	0.876897
ERR164476	normal	0.932130
ERR164478	normal	1.145217
ERR164508	normal	1.034145
ERR164512	normal	1.027906
ERR164515	normal	0.840269
ERR164501	normal	1.333935
ERR164517	normal	0.933036
ERR164521	normal	0.946004
ERR164523	normal	0.830122
ERR164524	normal	0.742240
ERR164502	normal	1.500804
ERR164527	normal	1.005755
ERR164529	normal	1.011528
ERR164531	normal	0.953808
ERR164532	normal	0.922430
ERR164533	normal	1.029146
ERR164503	normal	1.252273
ERR164538	normal	0.967472
ERR164540	normal	1.282336
ERR164542	normal	1.479418
ERR164543	normal	1.178293
ERR164545	normal	1.503951
ERR164548	normal	1.118116
ERR164549	normal	1.386770
ERR164550	tumor	0.985778
ERR164559	tumor	1.139205
ERR164560	tumor	0.859836
ERR164561	tumor	0.782586
ERR164563	tumor	0.797608
ERR164565	tumor	0.882556
ERR164566	tumor	0.905895
ERR164567	tumor	0.967331
ERR164568	tumor	0.851211
ERR164551	tumor	1.289800
ERR164569	tumor	0.760851
ERR164570	tumor	0.748705
ERR164571	tumor	0.887175
ERR164573	tumor	0.801273
ERR164574	tumor	0.954115
ERR164577	tumor	0.917292
ERR164578	tumor	0.937415
ERR164552	tumor	1.034121
ERR164579	tumor	0.953419
ERR164580	tumor	1.185638
ERR164582	tumor	1.159194
ERR164583	tumor	1.161339
ERR164584	tumor	1.155441
ERR164585	tumor	1.014465
ERR164554	tumor	1.046088
ERR164556	tumor	1.192176
ERR164558	tumor	0.991687
ERR062334	tumor	0.978765
ERR164590	tumor	0.510183
ERR164591	tumor	0.984397
ERR164593	tumor	0.901388
ERR164594	tumor	0.836744
ERR164595	tumor	1.407707
ERR164597	tumor	0.754788
ERR164599	tumor	0.695936
ERR164600	tumor	2.481724
ERR164601	tumor	1.530990
ERR164602	tumor	1.280570
ERR164603	tumor	1.418870
ERR164604	tumor	1.378135
ERR164605	tumor	1.035553
ERR164606	tumor	1.855642
ERR164607	tumor	1.787256
ERR164608	tumor	1.579014
ERR164609	tumor	0.974159
ERR164610	tumor	1.503761
ERR164611	tumor	1.573039
ERR062335	tumor	1.185922
ERR062336	tumor	1.389056
ERR164612	tumor	1.302168
ERR164613	tumor	1.714971
ERR164614	tumor	1.600654
ERR164615	tumor	1.922635
ERR164616	tumor	1.749575
ERR164617	tumor	1.524552
ERR164618	tumor	1.227269
ERR164619	tumor	1.539146
ERR164620	tumor	1.296463
ERR164621	tumor	1.732278
ERR062337	tumor	1.239112
ERR164622	tumor	0.768451
ERR164623	tumor	0.850140
ERR164624	tumor	0.972413
ERR164625	tumor	0.858787
ERR164626	tumor	0.870002
ERR164627	tumor	0.950879
ERR164628	tumor	0.805971
ERR164629	tumor	0.809119
ERR164630	tumor	0.805890
ERR164631	tumor	0.557043
ERR164632	tumor	0.943458
ERR164633	tumor	0.942046
ERR164634	tumor	0.758743
ERR062338	tumor	1.180838
ERR164587	tumor	0.433502
ERR164588	tumor	0.437210
ERR164589	tumor	2.200542
